Subdomain,IP,Cloudflare
offline.capitol.hawaii.gov,51.124.91.155,false
oga.hawaii.gov,104.16.146.70,true
ohs.hawaii.gov,104.16.147.70,true
oidc.huiclaims.ui.dlir.hawaii.gov,44.236.78.222,false
oimt.hawaii.gov,104.16.146.70,true
oip-dev.hawaii.gov,104.16.146.70,true
oip-rrs.hawaii.gov,162.221.244.193,false
oip.hawaii.gov,104.16.146.70,true
oip80.hawaii.gov,104.16.146.70,true
olaroster.hawaii.gov,45.40.134.199,false
olvr.hawaii.gov,104.16.146.70,true
ombudsman-dev.hawaii.gov,104.16.146.70,true
ombudsman.hawaii.gov,104.18.65.2,true
openbudget.hawaii.gov,162.221.244.172,false
opendata.hawaii.gov,104.19.218.112,true
openexpenditures.hawaii.gov,162.221.244.172,false
ormp.hawaii.gov,23.23.51.121,false
outdoor.hawaii.gov,151.101.2.228,false
ovs.hawaii.gov,104.16.146.70,true
owr.hawaii.gov,104.16.146.70,true
pais-benefits.dhs.hawaii.gov,162.221.245.61,false
pais-pebt.dhs.hawaii.gov,162.221.245.62,false
pais.dhs.hawaii.gov,162.221.245.56,false
pan.doh.hawaii.gov,104.16.147.70,true
pan.health.hawaii.gov,104.16.146.70,true
pesticides.reg.hdoa.hawaii.gov,18.66.112.17,false
piasdev.hawaii.gov,104.16.146.70,true
piastest.hawaii.gov,104.16.146.70,true
pieppnd003.mybenefits.hawaii.gov,205.172.1.130,false
planning-dev.hawaii.gov,104.16.146.70,true
planning.hawaii.gov,104.16.146.70,true
planning80.hawaii.gov,104.16.146.70,true
pltis-dev-gis.hawaii.gov,162.221.244.119,false
pltis-dev.hawaii.gov,162.221.244.119,false
pltis-gis.hawaii.gov,162.221.244.120,false
pltis-gis2.hawaii.gov,132.160.239.28,false
pltis.hawaii.gov,162.221.244.120,false
pltis2.hawaii.gov,162.221.244.120,false
pmce.hawaii.gov,104.16.146.70,true
portal-elections.hawaii.gov,104.16.146.70,true
poseidon.digitalarchives.hawaii.gov,132.160.224.152,false
pqb-hdoa.hawaii.gov,35.158.127.51,false
preventdiabetes.hawaii.gov,104.16.146.70,true
primeguard.hawaii.gov,104.16.146.70,true
prismcentral.dot.hawaii.gov,10.156.7.77,false
private.oimt.hawaii.gov,132.160.216.73,false
prp.hawaii.gov,104.16.146.70,true
prp80.hawaii.gov,104.16.146.70,true
psd.hawaii.gov,132.160.242.4,false
pua.hawaii.gov,170.10.108.19,false
puastaging.hawaii.gov,170.10.108.20,false
puatesting.hawaii.gov,170.10.108.21,false
publicdefender-dev.hawaii.gov,104.16.147.70,true
publicdefender.hawaii.gov,104.16.146.70,true
publicdefender80.hawaii.gov,104.16.146.70,true
publicwork.hawaii.gov,104.16.146.70,true
publicworks.hawaii.gov,104.16.146.70,true
puc-dev.hawaii.gov,104.16.146.70,true
puc.hawaii.gov,104.16.146.70,true
puc80.hawaii.gov,104.16.146.70,true
pvlins-d.dcca.hawaii.gov,44.236.18.11,false
pvlins-t.dcca.hawaii.gov,44.236.59.235,false
pvlinsurance.dcca.hawaii.gov,44.240.234.43,false
pwd.hawaii.gov,104.18.65.2,true
pwd80.hawaii.gov,104.16.146.70,true
quest.hawaii.gov,104.16.146.70,true
rcg.hawaii.gov,141.193.213.10,false
ready.hawaii.gov,104.16.146.70,true
remote.capitol.hawaii.gov,162.221.245.71,false
remote.dot.hawaii.gov,162.221.245.165,false
request.dod.hawaii.gov,104.16.146.70,true
rethinkyourdrink.hawaii.gov,104.16.146.70,true
ritetrack.dhs.hawaii.gov,104.16.146.70,true
ritetracktraining.dhs.hawaii.gov,104.16.146.70,true
rod.dlnr.hawaii.gov,104.16.146.70,true
rod2.dlnr.hawaii.gov,104.16.146.70,true
sacc-har.dot.hawaii.gov,162.221.244.210,false
sacc2-har.dot.hawaii.gov,162.221.244.211,false
safetravels.hawaii.gov,104.16.146.70,true
safety-tool-hidot.hawaii.gov,34.107.137.191,false
safetyshoes-dev.hawaii.gov,104.16.146.70,true
safetyshoes.hawaii.gov,104.16.146.70,true
safetyshoes80.hawaii.gov,104.16.146.70,true
sams.hawaii.gov,162.221.244.175,false
sbinitiative.hawaii.gov,104.16.146.70,true
sbinitiative80.hawaii.gov,104.16.146.70,true
sbrrb.hawaii.gov,104.16.146.70,true
sbrrb80.hawaii.gov,104.16.146.70,true
scd.hawaii.gov,104.16.146.70,true
scmh-dev.hawaii.gov,104.16.146.70,true
scmh.hawaii.gov,104.16.146.70,true
scmh80.hawaii.gov,104.16.146.70,true
sdwis.doh.hawaii.gov,34.223.187.216,false
sealevelrise.hawaii.gov,104.16.146.70,true
sealofquality.hawaii.gov,104.16.146.70,true
search.capitol.hawaii.gov,172.64.147.78,true
senatehelp.capitol.hawaii.gov,162.221.244.18,false
servicedesk.hawaii.gov,162.159.140.147,true
services-dev.statehub.hawaii.gov,132.226.29.105,false
services-sit.statehub.hawaii.gov,132.226.125.216,false
sfa.hawaii.gov,104.16.146.70,true
sfca-dev.hawaii.gov,104.16.146.70,true
sfca.hawaii.gov,104.16.146.70,true
sfca80.hawaii.gov,104.16.146.70,true
sftp.dot.hawaii.gov,162.221.245.166,false
sftpserv.dot.hawaii.gov,10.156.6.204,false
sharepoint.spcsc.hawaii.gov,98.147.22.139,false
shpd.hawaii.gov,13.88.134.85,false
sides-hi.hawaii.gov,132.160.238.35,false
sieppnd003.mybenefits.hawaii.gov,216.30.172.213,false
snapbenefits.hawaii.gov,104.16.146.70,true
soh-vpn.hawaii.gov,132.160.223.20,false
soh-vpn2.hawaii.gov,132.160.223.20,false
soh-vpn3.hawaii.gov,162.221.247.138,false
soh-vpn4.hawaii.gov,132.160.223.30,false
sp1.capitol.hawaii.gov,104.241.103.229,false
spcsc.hawaii.gov,35.160.206.153,false
spo-dev.hawaii.gov,104.16.146.70,true
spo-learning.hawaii.gov,104.16.147.70,true
spo-learning80.hawaii.gov,104.16.146.70,true
spo.hawaii.gov,104.16.146.70,true
spo80.hawaii.gov,104.16.146.70,true
sscd.hawaii.gov,104.16.146.70,true
sta-id.hawaii.gov,34.117.169.170,false
stafflibrary.lrb.hawaii.gov,172.99.116.82,false
staging.capitol.hawaii.gov,40.64.128.225,false
startlivinghealthyatwork.hawaii.gov,104.16.146.70,true
statehub.hawaii.gov,205.172.1.134,false
stateid.hawaii.gov,104.16.146.70,true
statelab.doh.hawaii.gov,162.221.245.185,false
stayconnected-dev.hawaii.gov,104.16.146.70,true
stayconnected.hawaii.gov,104.16.146.70,true
stopfluatschooltraining.doh.hawaii.gov,132.160.235.152,false
strategicplan.hawaii.gov,104.16.146.70,true
strongertogether.hawaii.gov,104.16.146.70,true
sts.doh.hawaii.gov,209.166.154.130,false
sugarydrinkfee.hawaii.gov,104.16.146.70,true
support.capitol.hawaii.gov,104.241.103.230,false
surf.hawaii.gov,104.16.146.70,true
sustainability-dev.hawaii.gov,104.16.146.70,true
sustainability.hawaii.gov,104.16.146.70,true
svpn.dhs.hawaii.gov,162.221.245.146,false
sweetlies.hawaii.gov,104.16.146.70,true
swic.hawaii.gov,104.16.146.70,true
swic80.hawaii.gov,104.16.146.70,true
tanium.doh.hawaii.gov,162.221.245.101,false
tax-dev.hawaii.gov,104.16.146.70,true
tax.hawaii.gov,104.16.146.70,true
tax80.hawaii.gov,104.16.146.70,true
taxtst.hawaii.gov,104.16.146.70,true
temp4cdphpd.hawaii.gov,104.16.146.70,true
tenablesc.dot.hawaii.gov,10.156.5.102,false
terminalmaps.hawaii.gov,162.221.244.43,false
test.ais.hawaii.gov,52.222.201.19,false
test.capitol.hawaii.gov,40.64.128.225,false
test.mweb.elections.hawaii.gov,162.221.244.60,false
test4lead.hawaii.gov,104.16.146.70,true
testgw.doh.hawaii.gov,209.166.154.132,false
timecapsule.hawaii.gov,104.16.146.70,true
tip-dev.hawaii.gov,104.16.146.70,true
tip.hawaii.gov,104.16.146.70,true
tip80.hawaii.gov,104.16.146.70,true
tls.hawaii.gov,20.232.173.23,false
tobacco.hawaii.gov,104.16.146.70,true
tobacco80.hawaii.gov,104.16.146.70,true
trackit.hawaii.gov,162.221.244.175,false
transparency.hawaii.gov,104.16.146.70,true
transparency80.hawaii.gov,104.16.146.70,true
traumainformed.hawaii.gov,104.16.146.70,true
travel.hawaii.gov,104.16.146.70,true
traveler.hawaii.gov,132.160.218.148,false
traveler2.hawaii.gov,132.160.218.149,false
travelexemption.hawaii.gov,104.16.146.70,true
travelstage.hawaii.gov,104.16.146.70,true
traveltest.hawaii.gov,104.16.146.70,true
uam.appointments.adj.ui.dlir.hawaii.gov,13.35.58.31,false
uat.statehub.hawaii.gov,216.30.172.217,false
uhi.medquest.hawaii.gov,54.219.91.13,false
uhm.statehub.hawaii.gov,162.221.244.127,false
uhmppnd004.mybenefits.hawaii.gov,162.221.244.92,false
uihelp.hawaii.gov,104.16.146.70,true
url3321.hawaii.gov,104.16.146.70,true
url5752.click.hawaii.gov,104.16.146.70,true
vanillawp.hawaii.gov,44.232.184.161,false
vdi-dlir.hawaii.gov,162.221.245.102,false
vdi.dlir.hawaii.gov,162.221.245.102,false
verivax.doh.hawaii.gov,18.239.18.114,false
verivaxtest.doh.hawaii.gov,18.66.112.127,false
viccftest.hawaii.gov,104.16.146.70,true
viccfworkerpagetest.hawaii.gov,104.16.146.70,true
voterguide-dev.hawaii.gov,104.16.146.70,true
voterguide.hawaii.gov,104.16.146.70,true
vpn.csea.hawaii.gov,132.160.226.70,false
vpn.dcca.hawaii.gov,162.221.244.190,false
vpn.doh.hawaii.gov,162.221.245.44,false
vpnp.dhs.hawaii.gov,162.221.245.240,false
vpnp1.dhs.hawaii.gov,162.221.245.240,false
vr-test.hawaii.gov,143.110.238.95,false
vwr.ais.hawaii.gov,52.222.201.73,false
waihalana.hawaii.gov,192.0.78.13,false
waihona.kahoolawe.hawaii.gov,96.125.178.145,false
washingtonplace-dev.hawaii.gov,104.16.147.70,true
washingtonplace.hawaii.gov,104.16.146.70,true
web.dcca.hawaii.gov,104.16.146.70,true
web2.dcca.hawaii.gov,104.16.146.70,true
web3.dcca.hawaii.gov,104.16.146.70,true
webadmin.appointments.adj.ui.dlir.hawaii.gov,3.162.38.14,false
webdisk.kahoolawe.hawaii.gov,96.125.178.145,false
webmail.hawaii.gov,132.160.218.7,false
webmail.kahoolawe.hawaii.gov,96.125.178.145,false
webmail2.hawaii.gov,132.160.218.132,false
wellness-dev.hawaii.gov,104.16.146.70,true
wellness.hawaii.gov,104.16.146.70,true
wifi.dhs.hawaii.gov,152.44.45.138,false
wpwiki-dev.hawaii.gov,104.16.146.70,true
wpwiki.hawaii.gov,104.16.146.70,true
wpwiki78.hawaii.gov,44.232.184.161,false
wpwiki80.hawaii.gov,104.16.146.70,true
www.aarc.hawaii.gov,104.16.146.70,true
www.ag.hawaii.gov,104.16.146.70,true
www.agairgroupinsurance.hawaii.gov,104.16.146.70,true
www.ags.hawaii.gov,104.16.146.70,true
www.airports.hawaii.gov,104.16.146.70,true
www.akamaiarrival.hawaii.gov,104.16.146.70,true
www.akamaiarrivals.hawaii.gov,104.16.146.70,true
www.alohachallenge.hawaii.gov,23.23.51.121,false
www.alohastadium.hawaii.gov,104.16.146.70,true
www.anti-fraud.hawaii.gov,104.16.146.70,true
www.antifraud.hawaii.gov,104.16.146.70,true
www.artcollections.hawaii.gov,104.16.146.70,true
www.auditor.hawaii.gov,104.16.146.70,true
www.aviation.hawaii.gov,104.16.146.70,true
www.benefits.hawaii.gov,104.16.146.70,true
www.bhhsurg.hawaii.gov,104.16.146.70,true
www.boards.hawaii.gov,104.16.146.70,true
www.budget.hawaii.gov,104.16.146.70,true
www.businesscheck.hawaii.gov,104.16.146.70,true
www.capitol.hawaii.gov,172.64.147.78,true
www.captiveinsurance.hawaii.gov,104.16.146.70,true
www.cca.hawaii.gov,104.16.146.70,true
www.census.hawaii.gov,104.16.146.70,true
www.chartercommission.hawaii.gov,23.92.26.112,false
www.cid.hawaii.gov,104.16.146.70,true
www.cio.hawaii.gov,104.16.146.70,true
www.climate.hawaii.gov,104.16.146.70,true
www.climateadaptation.hawaii.gov,104.16.146.70,true
www.cloudflaredev.hawaii.gov,44.228.117.88,false
www.connect.hawaii.gov,104.16.146.70,true
www.consumeradvocate.hawaii.gov,104.16.146.70,true
www.consumercomplaint.hawaii.gov,104.16.146.70,true
www.covid19.hawaii.gov,104.16.146.70,true
www.creativecloud.hawaii.gov,104.16.146.70,true
www.creativelab.hawaii.gov,104.16.146.70,true
www.dashboard.hawaii.gov,162.221.244.172,false
www.data.hawaii.gov,104.16.146.70,true
www.dbedt.hawaii.gov,104.16.146.70,true
www.dhhl.hawaii.gov,104.16.146.70,true
www.dhrd.hawaii.gov,104.16.146.70,true
www.dlnr-docs.hawaii.gov,104.16.146.70,true
www.dlnr.hawaii.gov,104.16.146.70,true
www.dod.hawaii.gov,104.16.146.70,true
www.doh.hawaii.gov,162.221.245.49,false
www.dps.hawaii.gov,104.16.146.70,true
www.earlylearning.hawaii.gov,104.16.146.70,true
www.elections.hawaii.gov,104.16.146.70,true
www.energy.hawaii.gov,104.16.146.70,true
www.esign.hawaii.gov,104.16.146.70,true
www.ethics.hawaii.gov,104.16.146.70,true
www.ets.hawaii.gov,104.16.146.70,true
www.eutf.hawaii.gov,104.16.146.70,true
www.federalawards.hawaii.gov,104.16.146.70,true
www.filmoffice.hawaii.gov,104.16.146.70,true
www.gascap.hawaii.gov,104.16.146.70,true
www.gems.hawaii.gov,104.16.146.70,true
www.gis.hawaii.gov,104.16.146.70,true
www.go-elections.hawaii.gov,104.16.146.70,true
www.governor.hawaii.gov,104.16.146.70,true
www.grants.hawaii.gov,104.16.146.70,true
www.greenbusiness.hawaii.gov,104.16.146.70,true
www.hacc.hawaii.gov,104.16.146.70,true
www.hawaii.gov,162.221.244.172,false
www.hawaiibirdingtrails.hawaii.gov,104.16.146.70,true
www.hawaiienhanced911.hawaii.gov,104.16.146.70,true
www.hcnp.hawaii.gov,104.16.146.70,true
www.hdoa.hawaii.gov,104.16.146.70,true
www.health.hawaii.gov,104.16.146.70,true
www.hha.hawaii.gov,104.16.146.70,true
www.hhsp.hawaii.gov,3.123.231.150,false
www.hicares.hawaii.gov,45.40.145.151,false
www.hicris.beta.hawaii.gov,20.189.138.131,false
www.hicrisbeta.hawaii.gov,104.16.146.70,true
www.hidot.hawaii.gov,104.16.146.70,true
www.hijis.hawaii.gov,104.16.146.70,true
www.hisam.hawaii.gov,104.16.146.70,true
www.hisc.hawaii.gov,104.16.146.70,true
www.hiwin.hawaii.gov,104.16.146.70,true
www.hmoab.hawaii.gov,104.16.146.70,true
www.homeless.hmis.hawaii.gov,132.160.237.205,false
www.homelessness.hawaii.gov,104.16.146.70,true
www.housing.hawaii.gov,132.160.237.196,false
www.hpha.hawaii.gov,35.152.119.144,false
www.hsdc.hawaii.gov,104.16.146.70,true
www.hsfc.hawaii.gov,104.16.146.70,true
www.humanservices.hawaii.gov,104.16.146.70,true
www.hurricaneretrofits.hawaii.gov,132.160.216.127,false
www.icis.hawaii.gov,104.16.146.70,true
www.idtheft.hawaii.gov,104.16.147.70,true
www.injuriesarenoaccident.hawaii.gov,132.160.216.127,false
www.insurance.hawaii.gov,104.16.146.70,true
www.investing.hawaii.gov,104.16.146.70,true
www.investorrelations.hawaii.gov,104.16.146.70,true
www.iolakanaloa.kahoolawe.hawaii.gov,96.125.178.145,false
www.ipsc.hawaii.gov,104.16.146.70,true
www.itg.hawaii.gov,104.16.146.70,true
www.jobs.hawaii.gov,104.16.146.70,true
www.kahoolawe.hawaii.gov,96.125.178.145,false
www.kirc.hawaii.gov,72.234.228.4,false
www.koloaiki.hawaii.gov,104.16.146.70,true
www.labor.hawaii.gov,104.16.146.70,true
www.leadbyexample.hawaii.gov,104.16.146.70,true
www.licensedcontractor.hawaii.gov,104.16.146.70,true
www.livinglibrary.kahoolawe.hawaii.gov,96.125.178.145,false
www.lrb.hawaii.gov,104.16.146.70,true
www.ltgov.hawaii.gov,104.16.146.70,true
www.luc.hawaii.gov,104.16.146.70,true
www.medquest.hawaii.gov,104.16.146.70,true
www.mybenefits.hawaii.gov,104.16.146.70,true
www.nelha.hawaii.gov,104.16.146.70,true
www.nlk.doh.hawaii.gov,75.2.18.82,false
www.nogethurt.hawaii.gov,104.16.146.70,true
www.o365.hawaii.gov,104.16.146.70,true
www.ohs.hawaii.gov,104.16.146.70,true
www.oimt.hawaii.gov,104.16.146.70,true
www.oip.hawaii.gov,104.16.146.70,true
www.olvr.hawaii.gov,104.16.146.70,true
www.ombudsman.hawaii.gov,104.16.146.70,true
www.ombudsman80.hawaii.gov,104.16.146.70,true
www.ovs.hawaii.gov,104.16.146.70,true
www.planning.hawaii.gov,104.16.146.70,true
www.pmce.hawaii.gov,104.16.146.70,true
www.primeguard.hawaii.gov,104.16.146.70,true
www.publicdefender.hawaii.gov,104.16.146.70,true
www.publicwork.hawaii.gov,104.16.146.70,true
www.publicworks.hawaii.gov,104.16.146.70,true
www.puc.hawaii.gov,104.16.146.70,true
www.pwd.hawaii.gov,104.18.65.2,true
www.quest.hawaii.gov,104.16.146.70,true
www.ready.hawaii.gov,104.16.146.70,true
www.safetravels.hawaii.gov,104.16.146.70,true
www.safetyshoes.hawaii.gov,104.16.147.70,true
www.sbrrb.hawaii.gov,104.16.146.70,true
www.scd.hawaii.gov,104.16.146.70,true
www.scmh.hawaii.gov,104.16.146.70,true
www.sealevelrise.hawaii.gov,104.16.146.70,true
www.sealofquality.hawaii.gov,104.16.146.70,true
www.secondary.hmis.hawaii.gov,132.160.237.205,false
www.sfca.hawaii.gov,104.16.146.70,true
www.shpd.hawaii.gov,13.88.134.85,false
www.spcsc.hawaii.gov,35.160.206.153,false
www.spo.hawaii.gov,104.16.146.70,true
www.sscd.hawaii.gov,104.16.146.70,true
www.statehood.hawaii.gov,132.160.216.10,false
www.stateid.hawaii.gov,104.16.146.70,true
www.stayconnected.hawaii.gov,104.16.146.70,true
www.strategicplan.hawaii.gov,104.16.146.70,true
www.sustainability.hawaii.gov,104.16.146.70,true
www.swic.hawaii.gov,104.16.146.70,true
www.tax.hawaii.gov,104.16.146.70,true
www.timecapsule.hawaii.gov,104.16.146.70,true
www.tip.hawaii.gov,104.16.146.70,true
www.tobacco.hawaii.gov,104.16.146.70,true
www.transparency.hawaii.gov,104.16.146.70,true
www.travel.hawaii.gov,104.16.146.70,true
www.travelexemption.hawaii.gov,104.16.146.70,true
www.uihelp.hawaii.gov,104.16.146.70,true
www.unclaimedproperty.hawaii.gov,162.221.244.21,false
www.vanillawp.hawaii.gov,44.232.184.161,false
www.waihona.kahoolawe.hawaii.gov,96.125.178.145,false
www.washingtonplace.hawaii.gov,104.16.146.70,true
www.wpwiki.hawaii.gov,104.16.146.70,true
www.yca.hawaii.gov,104.16.146.70,true
www3.hawaii.gov,132.160.216.127,false
x01csc-papp01.hawaii.gov,162.221.244.109,false
x01csc-pweb01.hawaii.gov,162.221.224.20,false
x01csc-tapp01.hawaii.gov,104.16.146.70,true
x01csc-tweb1.hawaii.gov,162.221.244.19,false
xbi.doh.hawaii.gov,162.221.245.49,false
yahoo.victest.hawaii.gov,104.18.43.218,true
yca.hawaii.gov,104.16.146.70,true
